INSERT INTO bike (type, state, brand, frame_size, price) VALUES
("City","Old","MATE","L","1300"),
("Electric","Old","GT","M","2800"),
("Electric","Used","GT","S","1600"),
("City","New","GT","XXS","15000"),
("City","Old","Trek","XXS","1100"),
("Electric","New","GT","XS","5000"),
("City","New","Cannondale","L","1500"),
("Mountain","New","Scot","S","1600"),
("Race","Used","GT","XXS","1000"),
("Mountain","Used","Cannondale","L","2800"),
("City","New","Cannondale","S","2700"),
("Mountain","New","MATE","M","15000"),
("Race","Old","Raleigh","S","2700"),
("Mountain","New","Scot","M","1300"),
("Race","New","Raleigh","XXL","2100"),
("Race","Old","MATE","XS","1300"),
("Mountain","New","Scot","M","1300"),
("City","New","Scot","L","1000"),
("Mountain","Used","Cube","XXL","3200"),
("City","Old","GT","M","1500"),
("Mountain","Old","Scot","XXL","15000"),
("City","Used","Scot","S","1600"),
("Race","Used","Cube","M","1600"),
("City","Used","Trek","XXL","3000"),
("Mountain","Used","Cannondale","XL","2800"),
("City","Used","Raleigh","XXL","1100"),
("Mountain","Old","Cannondale","XS","1600"),
("City","New","Cube","XS","1500"),
("City","Used","GT","M","3200"),
("Mountain","Old","Scot","XS","1300"),
("Race","Used","Trek","XS","1100"),
("Electric","Old","Cannondale","XXL","2700"),
("Mountain","New","Scot","L","3100"),
("Electric","Used","Cannondale","XXS","5000"),
("Electric","Old","MATE","XXS","1200"),
("Mountain","Used","Cannondale","S","15000"),
("Race","Old","GT","M","2000"),
("Mountain","Used","Cannondale","L","1400"),
("Electric","New","Trek","XS","1600"),
("Race","Old","Raleigh","M","2000"),
("Race","Used","Trek","L","2000"),
("Race","Used","GT","XS","1100"),
("Mountain","Used","Cannondale","S","1200"),
("City","Old","GT","XL","1100"),
("City","Old","Cannondale","XXL","2100"),
("City","Used","Cube","XXS","1300"),
("City","New","Cannondale","M","1500"),
("Electric","Used","MATE","XS","2800"),
("Mountain","Old","GT","XXS","1000"),
("City","Old","Scot","XL","1000"),
("Race","Old","GT","L","3200"),
("Electric","Used","GT","L","1500"),
("Race","Used","MATE","XXL","2100"),
("City","Old","MATE","XL","2700"),
("Mountain","Old","Cannondale","S","1000"),
("Electric","New","Cannondale","XXS","1100"),
("Race","Old","Cube","XXL","2000"),
("City","Used","GT","XXS","2000"),
("Race","Used","Raleigh","M","1100"),
("City","Old","MATE","XS","2000"),
("City","New","Cannondale","M","1600"),
("Race","Old","MATE","XXL","2100"),
("Mountain","New","GT","L","2000"),
("Mountain","Old","MATE","S","15000"),
("Mountain","New","Trek","XXS","1200"),
("Electric","Used","Raleigh","S","3100"),
("City","New","Raleigh","XL","3100"),
("Electric","Old","Scot","S","2100"),
("Electric","New","MATE","XXS","3100"),
